Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
unmatched_applicants,104.0,80.0,71.0,72.0,70.0,70.0,70.0,71.0,72.0,73.0,74.0,78.0,77.0,77.0,83.0,81.0,92.0,88.0,88.0,95.0,94.0,97.0,94.0,95.0,101.0,99.0,98.0,97.0,99.0,100.0,105.0,101.0,104.0,109.0,107.0,106.0,106.0,106.0,105.0,108.0
unmatched_applicants,110.0,74.0,71.0,70.0,71.0,70.0,71.0,70.0,73.0,74.0,76.0,77.0,79.0,83.0,81.0,82.0,86.0,84.0,87.0,95.0,93.0,96.0,92.0,98.0,101.0,98.0,98.0,98.0,109.0,104.0,102.0,100.0,105.0,106.0,105.0,110.0,106.0,105.0,108.0,107.0
unmatched_applicants,107.0,72.0,73.0,73.0,70.0,71.0,70.0,70.0,74.0,71.0,75.0,74.0,80.0,81.0,84.0,89.0,88.0,92.0,89.0,93.0,99.0,96.0,97.0,99.0,95.0,98.0,95.0,102.0,102.0,105.0,100.0,105.0,101.0,106.0,103.0,100.0,106.0,111.0,109.0,106.0
unmatched_applicants,111.0,74.0,73.0,70.0,70.0,70.0,70.0,71.0,71.0,74.0,74.0,77.0,78.0,77.0,83.0,86.0,90.0,90.0,88.0,99.0,98.0,95.0,96.0,95.0,98.0,101.0,102.0,102.0,101.0,102.0,105.0,104.0,101.0,107.0,109.0,105.0,111.0,105.0,110.0,106.0
unmatched_applicants,111.0,76.0,74.0,71.0,70.0,70.0,70.0,71.0,71.0,73.0,79.0,77.0,77.0,80.0,82.0,81.0,87.0,90.0,88.0,93.0,97.0,95.0,101.0,92.0,100.0,102.0,103.0,97.0,105.0,104.0,105.0,108.0,105.0,107.0,104.0,108.0,106.0,109.0,111.0,105.0
unmatched_applicants,108.0,74.0,76.0,70.0,70.0,70.0,71.0,72.0,70.0,72.0,76.0,79.0,79.0,80.0,81.0,89.0,86.0,91.0,90.0,93.0,95.0,96.0,95.0,98.0,98.0,97.0,96.0,103.0,103.0,103.0,105.0,107.0,105.0,110.0,102.0,100.0,106.0,109.0,109.0,106.0
unmatched_applicants,113.0,79.0,71.0,72.0,70.0,70.0,70.0,71.0,74.0,71.0,73.0,78.0,78.0,83.0,84.0,85.0,84.0,89.0,95.0,95.0,96.0,99.0,95.0,100.0,99.0,96.0,101.0,103.0,108.0,102.0,106.0,102.0,107.0,105.0,105.0,111.0,108.0,110.0,106.0,106.0
unmatched_applicants,110.0,75.0,74.0,70.0,70.0,70.0,71.0,71.0,72.0,73.0,75.0,78.0,80.0,82.0,83.0,84.0,87.0,89.0,91.0,93.0,93.0,90.0,96.0,96.0,104.0,97.0,103.0,102.0,97.0,100.0,104.0,109.0,104.0,110.0,102.0,104.0,106.0,109.0,104.0,106.0
unmatched_applicants,104.0,77.0,71.0,71.0,70.0,70.0,70.0,70.0,72.0,74.0,75.0,79.0,80.0,84.0,87.0,84.0,88.0,89.0,95.0,94.0,93.0,92.0,98.0,99.0,103.0,101.0,101.0,108.0,103.0,101.0,107.0,101.0,107.0,103.0,106.0,102.0,108.0,105.0,109.0,108.0
unmatched_applicants,110.0,73.0,73.0,70.0,71.0,70.0,71.0,71.0,70.0,71.0,75.0,77.0,80.0,85.0,84.0,90.0,88.0,90.0,91.0,94.0,90.0,93.0,97.0,95.0,98.0,100.0,104.0,100.0,106.0,101.0,105.0,97.0,100.0,105.0,106.0,103.0,107.0,104.0,105.0,103.0
unmatched_applicants,107.0,72.0,72.0,70.0,71.0,70.0,70.0,70.0,70.0,73.0,74.0,77.0,80.0,83.0,83.0,87.0,86.0,87.0,89.0,94.0,93.0,98.0,100.0,97.0,97.0,99.0,100.0,101.0,103.0,107.0,103.0,106.0,105.0,110.0,106.0,105.0,104.0,100.0,104.0,108.0
unmatched_applicants,111.0,77.0,70.0,72.0,70.0,70.0,70.0,71.0,72.0,73.0,73.0,74.0,76.0,81.0,81.0,85.0,89.0,86.0,90.0,93.0,93.0,93.0,94.0,98.0,100.0,107.0,99.0,104.0,102.0,103.0,103.0,104.0,97.0,108.0,107.0,104.0,104.0,104.0,106.0,110.0
unmatched_applicants,114.0,75.0,72.0,70.0,70.0,70.0,71.0,72.0,70.0,75.0,75.0,78.0,79.0,78.0,86.0,87.0,86.0,87.0,92.0,91.0,93.0,94.0,95.0,97.0,105.0,99.0,100.0,104.0,106.0,102.0,104.0,106.0,108.0,98.0,113.0,106.0,107.0,105.0,112.0,106.0
unmatched_applicants,114.0,73.0,71.0,72.0,70.0,70.0,71.0,71.0,71.0,74.0,77.0,74.0,82.0,83.0,83.0,83.0,91.0,87.0,90.0,92.0,92.0,92.0,97.0,101.0,101.0,101.0,99.0,103.0,101.0,106.0,105.0,108.0,104.0,101.0,105.0,104.0,106.0,102.0,108.0,112.0
unmatched_applicants,103.0,73.0,74.0,70.0,70.0,70.0,71.0,71.0,73.0,73.0,76.0,77.0,76.0,79.0,78.0,87.0,84.0,92.0,90.0,89.0,93.0,96.0,96.0,99.0,95.0,99.0,102.0,99.0,102.0,100.0,106.0,104.0,106.0,103.0,103.0,106.0,107.0,103.0,106.0,104.0
unmatched_applicants,105.0,75.0,76.0,71.0,70.0,71.0,72.0,71.0,74.0,74.0,76.0,73.0,78.0,81.0,84.0,84.0,89.0,87.0,88.0,93.0,93.0,99.0,94.0,98.0,92.0,100.0,104.0,98.0,101.0,101.0,105.0,109.0,105.0,111.0,107.0,108.0,108.0,105.0,102.0,111.0
unmatched_applicants,110.0,75.0,73.0,71.0,70.0,71.0,71.0,70.0,71.0,73.0,76.0,76.0,80.0,83.0,84.0,84.0,88.0,95.0,91.0,87.0,95.0,94.0,96.0,96.0,95.0,104.0,105.0,98.0,102.0,104.0,107.0,103.0,108.0,107.0,106.0,102.0,101.0,110.0,107.0,108.0
unmatched_applicants,106.0,75.0,70.0,71.0,72.0,72.0,70.0,70.0,70.0,72.0,76.0,79.0,78.0,81.0,84.0,85.0,85.0,89.0,93.0,90.0,92.0,93.0,96.0,105.0,100.0,101.0,103.0,104.0,98.0,102.0,107.0,105.0,106.0,102.0,108.0,106.0,111.0,110.0,107.0,104.0
unmatched_applicants,106.0,73.0,71.0,71.0,70.0,70.0,70.0,72.0,71.0,73.0,72.0,76.0,82.0,83.0,85.0,86.0,87.0,89.0,84.0,97.0,92.0,98.0,97.0,100.0,106.0,99.0,99.0,102.0,103.0,99.0,104.0,108.0,108.0,108.0,104.0,101.0,112.0,106.0,107.0,111.0
unmatched_applicants,108.0,76.0,75.0,70.0,70.0,70.0,70.0,71.0,71.0,72.0,76.0,77.0,78.0,80.0,85.0,88.0,91.0,94.0,95.0,90.0,93.0,93.0,97.0,94.0,98.0,98.0,98.0,102.0,104.0,99.0,105.0,100.0,103.0,106.0,108.0,103.0,107.0,110.0,106.0,110.0
unmatched_applicants,102.0,81.0,71.0,73.0,71.0,70.0,70.0,71.0,72.0,76.0,75.0,81.0,79.0,79.0,84.0,87.0,84.0,89.0,87.0,89.0,99.0,93.0,99.0,101.0,98.0,101.0,101.0,101.0,102.0,100.0,109.0,102.0,103.0,104.0,104.0,102.0,101.0,107.0,109.0,105.0
